Vertex Category,Sl. No.,Description,Longitude,Latitude,Remarks/Comments,VT1,VT2,VT3,VT4A,VT4B,VT4C,VT5A,VT5B,VT5C,VT6A,VT6B,CC1P,CC2P,CC1D,CC2D,CC3D,CC4D,Multimodal Compatibility for Network_Road_A,Multimodal Compatibility for Network_Rail_A,Multimodal Compatibility for Network_Road_B,Multimodal Compatibility for Network_Air_A,Multimodal Compatibility for Network_Water_A,Multimodal Compatibility for Network_Road_C
Vehicle Depot,VD1,Vehicle Depot VD1,82.863772,17.944908,"Chidikaka, AP",0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Vehicle Depot,VD2,Vehicle Depot VD2,87.076128,22.062448,"Jhargram, WB",0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Vehicle Depot,VD3,Vehicle Depot VD3,88.333408,22.589619,Howrah Goods Cabin,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Vehicle Depot,VD4,Vehicle Depot VD4,83.226834,17.727395,Vizag Airport Cargo Terminal Hangar,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Vehicle Depot,VD5,Vehicle Depot VD5,90.876999,12.385999,Aircraft Carrier's Intercepter Speed Boats,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Vehicle Depot,VD6,Vehicle Depot VD6,92.783444,24.828169,"Ambikapatty, Silchar, Assam",0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Vehicle Depot,VD7,Vehicle Depot VD7,92.656475,11.642095,"Chouldari, ANaN Islands",0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WareHouse,WH1,WareHouse WH1,86.564236,22.446048,"East Singhbhum, Jharkhand",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,60,80,1,0,0,0,0,0
WareHouse,WH3,WareHouse WH3,82.114773,18.973287,"Jagdalpura, Chattishgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,80,80,1,0,0,0,0,0
WareHouse,WH4,WareHouse WH4,86.234646,20.060551,"Jagatsinghpur, Orissa",0,0,0,0,0,0,0,0,0,0,0,0,0,100,70,90,80,1,0,0,0,0,0
WareHouse,WH5,WareHouse WH5,83.971463,18.494692,"Srikakulam, AP",0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,100,80,1,0,0,0,0,0
WareHouse,WH6,WareHouse WH6,92.881375,23.326596,"Serchhip, Mizoram",0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,50,20,0,0,1,0,0,0
WareHouse,WH7,WareHouse WH7,93.727322,26.376591,"Bokajan, Assam",0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,50,20,0,0,1,0,0,0
Transhipment Port,TP1,Transhipment Port TP1,88.343097,22.585201,Howrah Station,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Transhipment Port,TP2,Transhipment Port TP2,85.708754,20.154143,Orissa Khurda Road Junction Railway Station,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Transhipment Port,TP3,Transhipment Port TP3,91.751245,26.182391,Guwahati Station,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
Transhipment Port,TP4,Transhipment Port TP4,91.278478,23.792955,Tripura Station,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
Transhipment Port,TP5,Transhipment Port TP5,83.132897,17.431608,Vizag AirPort,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
Transhipment Port,TP6,Transhipment Port TP6,90.876001,12.385001,Aircraft Carrier in the middle of Bay of Bengal,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0
Transhipment Port,TP7,Transhipment Port TP7,92.872829,12.879537,"Mayabunder, ANaN Islands",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
Transhipment Port,TP8,Transhipment Port TP8,92.783778,12.315708,"Rangat, ANaN Islands",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
